time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1697619937768000000,0.285,0,0,1,17.19499969482422,0,0,68.5999984741211,3.0952969,50.6882651
1697619940654000000,3.171000244140625,0,0,1,16.07900047302246,0.5933159589767456,275.2696228027344,68.5999984741211,3.095233,50.6882688
1697619944318000000,6.835000244140625,0,0,1,14.607000350952148,0.14578495919704437,138.13497924804688,68.5999984741211,3.0952441,50.6882643
1697619949336000000,11.853,0,0,1,13.96399974822998,0.062467776238918304,0,68.5999984741211,3.0952384,50.6882648
1697619956293000000,18.81,14.800000190734863,2.5,1.0695699453353882,13.5,4.156212329864502,270.9475402832031,68.5999984741211,3.0957029,50.6881967
1697619957293000000,19.81,14.800000190734863,2.5,1.0293200016021729,13.5,4.3751606941223145,272.9732360839844,68.5999984741211,3.095706,50.6882124
1697619958293000000,20.81,16.5,2.299999952316284,1.0393199920654297,12.965999603271484,3.957606792449951,274.8946533203125,68.5999984741211,3.0957022,50.6882197
1697619959293000000,21.81,23.5,2,1.0493199825286865,11.425000190734863,2.8363983631134033,277.6800231933594,68.5999984741211,3.0957265,50.6882243
1697619960293000000,22.81,25.5,2,1.0593199729919434,10.15999984741211,2.4587554931640625,277.0954895019531,68.5999984741211,3.0957391,50.6882257
1697619961293000000,23.81,35.79999923706055,1.7999999523162842,1.0693199634552002,9.232999801635742,0.24837695062160492,270.1470031738281,68.5999984741211,3.095743,50.688226
1697619962293000000,24.81,46,1.600000023841858,1.0292199850082397,7.699999809265137,0.2461896538734436,270.0104675292969,68.5999984741211,3.0954473,50.6883297
1697619963293000000,25.81,0,1.5,1.0392199754714966,6.132999897003174,0.0689820945262909,0,68.5999984741211,3.0953607,50.6883627
1697619964293000000,26.81,0,1.5,1.0492199659347534,4.833000183105469,0.018559014424681664,0,68.5999984741211,3.0953355,50.6883733
1697619965293000000,27.81,0,1.5,1.0592199563980103,4.400000095367432,0.00530931307002902,0,68.5999984741211,3.0953281,50.6883767
1697619966293000000,28.81,0,1.399999976158142,1.069219946861267,4.25,0.001369780977256596,0,68.5999984741211,3.0953259,50.6883778
1697619967293000000,29.81,0,1.399999976158142,1.0792200565338135,4.183000087738037,0.00011682118201861158,0,68.5999984741211,3.0953265,50.688394
1697619968293000000,30.81,0,1.399999976158142,1.0892200469970703,4.165999889373779,0.00007699197885813192,0,68.5999984741211,3.0953266,50.6883992
1697619969293000000,31.81,0,1.399999976158142,1.0254900455474854,4.183000087738037,0.00002643266270752065,0,68.5999984741211,3.0953267,50.6884009
1697619970293000000,32.81,0,1.399999976158142,1.0354900360107422,4.199999809265137,0.000008189705113181844,0,68.5999984741211,3.0953267,50.6884014
1697619971293000000,33.81,0,1.399999976158142,1.045490026473999,4.199999809265137,0.000002475551355018979,0,68.5999984741211,3.0953267,50.6884016
1697619972293000000,34.81,0,1.7999999523162842,1.0554900169372559,4.199999809265137,0.000004539036581263645,0,68.5999984741211,3.0953267,50.6884152
1697619973293000000,35.81,0,1.7000000476837158,1.0654900074005127,4.199999809265137,0.00000213533166970592,0,68.5999984741211,3.0953267,50.6884196
1697619974293000000,36.81,0,1.600000023841858,1.025320053100586,4.199999809265137,5.460884722197079e-7,0,68.5999984741211,3.0953267,50.688421
1697619975293000000,37.81,0,1.600000023841858,1.0353200435638428,4.199999809265137,1.548898609371463e-7,0,68.5999984741211,3.0953267,50.6884215
1697619976293000000,38.81,0,1.600000023841858,1.0453200340270996,4.216000080108643,4.946085496726482e-8,0,68.5999984741211,3.0953267,50.6884216
1697619977293000000,39.81,0,2.5999999046325684,1.0553200244903564,4.232999801635742,4.153505628323728e-8,0,68.5999984741211,3.0953267,50.6884217
1697619978293000000,40.81,0,2.9000000953674316,1.0653200149536133,4.25,4.317054802527309e-8,0,68.5999984741211,3.0953267,50.6884217
